programa,-1,-1,1
Ejemplo8@,-55,-2,1
;,-75,-1,1
variables,-15,-1,2
entero,-11,-1,3
x&,-51,0,3
,,-76,-1,3
b&,-51,0,3
,,-76,-1,3
z&,-51,1,3
;,-75,-1,3
inicio,-2,-1,4
read,-4,-1,5
(,-73,-1,5
x,-51,-2,5
),-74,-1,5
;,-75,-1,5
mientras,-8,-1,6
(,-73,-1,6
x,-51,-2,6
<,-31,-1,6
100,-51,-1,6
),-74,-1,6
hacer,-17,-1,6
inicio,-2,-1,7
x,-51,-2,8
=,-26,-1,8
(,-73,-1,8
b,-51,-2,8
/,-22,-1,8
2,-61,-1,8
),-74,-1,8
+,-24,-1,8
100,-61,-1,8
;,-75,-1,8
write,-5,-1,9
(,-73,-1,9
x,-51,-2,9
),-74,-1,9
;,-75,-1,9
read,-4,-1,10
(,-73,-1,10
z,-51,-2,10
),-74,-1,10
;,-75,-1,10
mientras,-8,-1,11
(,-73,-1,11
z,-51,-2,11
>,-33,-1,11
x,-51,-2,11
),-74,-1,11
hacer,-17,-1,11
inicio,-2,-1,12
write,-5,-1,13
(,-73,-1,13
z,-51,-2,13
),-74,-1,13
;,-75,-1,13
read,-4,-1,14
(,-73,-1,14
z,-51,-2,14
),-74,-1,14
;,-75,-1,14
fin,-3,-1,15
read,-4,-1,16
(,-73,-1,16
x,-51,-2,16
),-74,-1,16
;,-75,-1,16
fin,-3,-1,17
write,-5,-1,18
(,-73,-1,18
x,-51,-2,18
),-74,-1,18
;,-75,-1,18
write,-5,-1,19
(,-73,-1,19
z,-51,-2,19
),-74,-1,19
;,-75,-1,19
