programa,-1,-1,1
Ejemplo6@,-55,-2,1
;,-75,-1,1
variables,-15,-1,2
entero,-11,-1,3
a&,-51,0,3
,,-76,-1,3
b&,-51,1,3
;,-75,-1,3
inicio,-2,-1,4
a,-51,-2,5
=,-26,-1,5
10,-61,-1,5
;,-75,-1,5
repetir,-9,-1,6
inicio,-2,-1,7
a,-51,-2,8
=,-26,-1,8
a,-51,-2,8
*,-21,-1,8
10,-61,-1,8
+,-24,-1,8
2,-61,-1,8
;,-75,-1,8
escribir,-5,-1,9
(,-73,-1,9
a,-51,-2,9
),-74,-1,9
;,-75,-1,9
a,-51,-2,10
=,-26,-1,10
(,-73,-1,10
b,-51,-2,10
/,-22,-1,10
a,-51,-2,10
),-74,-1,10
-,-25,-1,10
10,-61,-1,10
;,-75,-1,10
fin,-3,-1,11
hasta,-10,-1,12
(,-73,-1,12
a,-51,-2,12
<,-31,-1,12
10,-61,-1,12
),-74,-1,12
;,-75,-1,12
escribir,-5,-1,13
(,-73,-1,13
a,-51,-2,13
),-74,-1,13
;,-75,-1,13
escribir,-5,-1,14
(,-73,-1,14
b,-51,-2,14
),-74,-1,14
;,-75,-1,14
fin,-3,-1,15
