programa,-1,-1,1
UNO@,-55,-2,1
;,-75,-1,1
variables,-15,-1,2
entero,-11,-1,3
a&,-51,-2,3
,,-76,-1,3
b&,-51,-2,3
;,-75,-1,3
real,-12,-1,4
x%,-52,-2,4
,,-76,-1,4
y%,-52,-2,4
;,-75,-1,4
cadena,-13,-1,5
z$,-53,-2,5
;,-75,-1,5
logico,-14,-1,6
dos#,-54,-2,6
;,-75,-1,6
inicio,-2,-1,7
a&,-51,-2,8
=,-26,-1,8
300,-61,-1,8
;,-75,-1,8
b&,-51,-2,9
=,-26,-1,9
0,-61,-1,9
;,-75,-1,9
z$,-53,-2,10
=,-26,-1,10
"Hola",-63,-1,10
;,-75,-1,10
x%,-52,-2,11
=,-26,-1,11
45.5,-62,-1,11
;,-75,-1,11
y%,-52,-2	,12
=,-26,-1,12
6.6,-62,-1,12
;,-75,-1,12
dos#,-54,-2,13
=,-26,-1,13
true,-64,-1,13
;,-75,-1,13
Fin,-3,-1,14
